player,url,year,team,bref_id,nba_id,team_id,playoffs
Jewell Loyd,,2026,LVA,,204319,1611661319,0
Kierstan Bell,,2026,LVA,,1631006,1611661319,0
NaLyssa Smith,,2026,LVA,,1631019,1611661319,0
Stephanie Talbot,,2026,LVA,,203855,1611661319,0
Ariel Atkins,,2026,LAS,,1628878,1611661320,0
Cameron Brink,,2026,LAS,,1642287,1611661320,0
Chance Gray,,2026,LAS,,1643462,1611661320,0
Dearica Hamby,,2026,LAS,,204324,1611661320,0
Emma Cannon,,2026,LAS,,1628242,1611661320,0
Erica Wheeler,,2026,LAS,,204365,1611661320,0
Jihyun Park,,2026,LAS,,1630148,1611661320,0
Kate Martin,,2026,LAS,,1642324,1611661320,0
Kelsey Plum,,2026,LAS,,1628276,1611661320,0
Nneka Ogwumike,,2026,LAS,,203014,1611661320,0
Rae Burrell,,2026,LAS,,1630996,1611661320,0
Sania Feagin,,2026,LAS,,1642790,1611661320,0
Ta'Niya Latson,,2026,LAS,,1643444,1611661320,0
Alanna Smith,,2026,DAL,,1629501,1611661321,0
Alysha Clark,,2026,DAL,,202252,1611661321,0
Arike Ogunbowale,,2026,DAL,,1629481,1611661321,0
Awak Kuier,,2026,DAL,,1630386,1611661321,0
Aziaha James,,2026,DAL,,1642793,1611661321,0
Azzi Fudd,,2026,DAL,,1643425,1611661321,0
Costanza Verona,,2026,DAL,,1643424,1611661321,0
JJ Quinerly,,2026,DAL,,1642808,1611661321,0
Jessica Shepard,,2026,DAL,,1629491,1611661321,0
Li Yueru,,2026,DAL,,1629574,1611661321,0
Maddy Siegrist,,2026,DAL,,1641652,1611661321,0
Odyssey Sims,,2026,DAL,,203824,1611661321,0
Paige Bueckers,,2026,DAL,,1642784,1611661321,0
Alex Wilson,,2026,WAS,,1642775,1611661322,0
Alicia Florez,,2026,WAS,,1643644,1611661322,0
Angela Dugalic,,2026,WAS,,1643455,1611661322,0
Cassandre Prosper,,2026,WAS,,1643467,1611661322,0
Cotie McMahon,,2026,WAS,,1643430,1611661322,0
Georgia Amoore,,2026,WAS,,1642781,1611661322,0
Kiki Iriafen,,2026,WAS,,1642792,1611661322,0
Lauren Betts,,2026,WAS,,1643427,1611661322,0
Lucy Olsen,,2026,WAS,,1642802,1611661322,0
Michaela Onyenwere,,2026,WAS,,1630446,1611661322,0
Rori Harmon,,2026,WAS,,1643450,1611661322,0
Shakira Austin,,2026,WAS,,1631022,1611661322,0
Sonia Citron,,2026,WAS,,1642785,1611661322,0
Aaliyah Edwards,,2026,CON,,1642290,1611661323,0
Aneesah Morrow,,2026,CON,,1642800,1611661323,0
Ashlon Jackson,,2026,CON,,1643437,1611661323,0
Brittney Griner,,2026,CON,,203398,1611661323,0
Charlisse Leger-Walker,,2026,CON,,1643449,1611661323,0
Diamond Miller,,2026,CON,,1641649,1611661323,0
Gianna Kneepkens,,2026,CON,,1643429,1611661323,0
Hailey Van Lith,,2026,CON,,1642817,1611661323,0
Kennedy Burke,,2026,CON,,1629568,1611661323,0
Leila Lacan,,2026,CON,,1642303,1611661323,0
Nell Angloma,,2026,CON,,1643448,1611661323,0
Olivia Nelson-Ododa,,2026,CON,,1631135,1611661323,0
Raegan Beers,,2026,CON,,1643441,1611661323,0
Saniya Rivers,,2026,CON,,1642809,1611661323,0
Anastasiia Olairi Kosu,,2026,MIN,,1642797,1611661324,0
Antonia Delaere,,2026,MIN,,1643489,1611661324,0
Courtney Williams,,2026,MIN,,1627675,1611661324,0
Eliska Hamzova,,2026,MIN,,1643490,1611661324,0
Emese Hof,,2026,MIN,,1629581,1611661324,0
Emma Cechova,,2026,MIN,,1643488,1611661324,0
Kayla McBride,,2026,MIN,,203825,1611661324,0
Liatu King,,2026,MIN,,1642820,1611661324,0
Maya Caldwell,,2026,MIN,,1630471,1611661324,0
Natasha Howard,,2026,MIN,,203827,1611661324,0
Nia Coffey,,2026,MIN,,1628269,1611661324,0
Olivia Miles,,2026,MIN,,1643426,1611661324,0
Teaira McCowan,,2026,MIN,,1629479,1611661324,0
Aliyah Boston,,2026,IND,,1641648,1611661325,0
Caitlin Clark,,2026,IND,,1642286,1611661325,0
Damiris Dantas,,2026,IND,,203024,1611661325,0
Grace VanSlooten,,2026,IND,,1643453,1611661325,0
Kelsey Mitchell,,2026,IND,,1628909,1611661325,0
Lexie Hull,,2026,IND,,1631086,1611661325,0
Makayla Timpson,,2026,IND,,1642815,1611661325,0
Monique Billings,,2026,IND,,1628881,1611661325,0
Myisha Hines-Allen,,2026,IND,,1628899,1611661325,0
Raven Johnson,,2026,IND,,1643433,1611661325,0
Shatori Walker-Kimbrough,,2026,IND,,1628278,1611661325,0
Sophie Cunningham,,2026,IND,,1629482,1611661325,0
Tyasha Harris,,2026,IND,,1630112,1611661325,0
Bridget Carleton,,2026,PDX,,1629524,1611661327,0
Carla Leite,,2026,PDX,,1642304,1611661327,0
Emily Engstler,,2026,PDX,,1631083,1611661327,0
Frieda Buhner,,2026,PDX,,1643494,1611661327,0
Haley Jones,,2026,PDX,,1641650,1611661327,0
Holly Winterburn,,2026,PDX,,1641683,1611661327,0
Jordan Harrison,,2026,PDX,,1643527,1611661327,0
Kamiah Smalls,,2026,PDX,,1630154,1611661327,0
Karlie Samuelson,,2026,PDX,,1628317,1611661327,0
Luisa Geiselsoder,,2026,PDX,,1630143,1611661327,0
Megan Gustafson,,2026,PDX,,1629484,1611661327,0
Nyadiew Puoch,,2026,PDX,,1642296,1611661327,0
Sarah Ashlee Barker,,2026,PDX,,1642782,1611661327,0
Serah Williams,,2026,PDX,,1643436,1611661327,0
Sug Sutton,,2026,PDX,,1630134,1611661327,0
Teja Oblak,,2026,PDX,,1643506,1611661327,0
Awa Fam,,2026,SEA,,1643443,1611661328,0
Dominique Malonga,,2026,SEA,,1642798,1611661328,0
Flau'jae Johnson,,2026,SEA,,1643428,1611661328,0
Jade Melbourne,,2026,SEA,,1631141,1611661328,0
Jordan Horston,,2026,SEA,,1641651,1611661328,0
Joyner Holmes,,2026,SEA,,1630115,1611661328,0
Katie Lou Samuelson,,2026,SEA,,1629478,1611661328,0
Lexie Brown,,2026,SEA,,1628882,1611661328,0
Mackenzie Holmes,,2026,SEA,,1642307,1611661328,0
Natisha Hiedeman,,2026,SEA,,1629567,1611661328,0
Stefanie Dolson,,2026,SEA,,203828,1611661328,0
Taina Mair,,2026,SEA,,1643473,1611661328,0
Taylor Thierry,,2026,SEA,,1642814,1611661328,0
Zia Cooke,,2026,SEA,,1641660,1611661328,0
Aicha Coulibaly,,2026,CHI,,1642786,1611661329,0
Azura Stevens,,2026,CHI,,1628922,1611661329,0
Elizabeth Williams,,2026,CHI,,204322,1611661329,0
Gabriela Jaquez,,2026,CHI,,1643447,1611661329,0
Jacy Sheldon,,2026,CHI,,1642292,1611661329,0
Kamilla Cardoso,,2026,CHI,,1642289,1611661329,0
Natasha Cloud,,2026,CHI,,204333,1611661329,0
Rachel Banham,,2026,CHI,,1627671,1611661329,0
Rickea Jackson,,2026,CHI,,1642288,1611661329,0
Saylor Poffenbarger,,2026,CHI,,1643458,1611661329,0
Skylar Diggins,,2026,CHI,,203400,1611661329,0
Sydney Taylor,,2026,CHI,,1642321,1611661329,0
Aaliyah Nye,,2026,ATL,,1642801,1611661330,0
Allisha Gray,,2026,ATL,,1628277,1611661330,0
Angel Reese,,2026,ATL,,1642291,1611661330,0
Indya Nivar,,2026,ATL,,1643469,1611661330,0
Isobel Borlase,,2026,ATL,,1642302,1611661330,0
Jordin Canada,,2026,ATL,,1628886,1611661330,0
Madina Okot,,2026,ATL,,1643431,1611661330,0
Naz Hillmon,,2026,ATL,,1631044,1611661330,0
Rhyne Howard,,2026,ATL,,1631009,1611661330,0
Sika Kone,,2026,ATL,,1631021,1611661330,0
Te-Hina Paopao,,2026,ATL,,1642804,1611661330,0
Ashten Prechtel,,2026,GSV,,1641695,1611661331,0
Cecilia Zandalasini,,2026,GSV,,1628508,1611661331,0
Gabby Williams,,2026,GSV,,1628931,1611661331,0
Janelle Salaun,,2026,GSV,,1642767,1611661331,0
Juste Jocyte,,2026,GSV,,1642794,1611661331,0
Kaila Charles,,2026,GSV,,1630097,1611661331,0
